1 ¦			2 ¦			3 ¦			1 - (_6,5мм)			2 -			3 -			1 ? (_9,5мм)			2 ?			3 ?			1 ¦ (+16мм)			изгиб 1 (—мм)		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
15,5	908,0172	0,7749	15,5	846,9804	0,7748667	15,5	-0,001589457	0,7748333	15,5	3401,711	0,7748333	15,5	3319,942	0,7749	15,5	3431,089	0,7748333	15,5	3192,489	0,7748333	15,5	3169,556	0,7748	15,5	3147,75	0,7748333	15,5	870,622	0,7748333	15,5	561,506	0,7749
15,6	930,7011	0,7798333	15,6	869,0469	0,7798333	15,6	0,01430511	0,7798667	15,6	3426,98	0,7798667	15,6	3345,687	0,7798333	15,6	3456,58	0,7798667	15,6	3220,968	0,7798333	15,6	3198,412	0,7798333	15,6	3176,301	0,7798333	15,6	892,9825	0,7798333	15,6	570,8138	0,7798333
15,7	954,3244	0,7849	15,7	891,4677	0,7849	15,7	-0,003973643	0,7849	15,7	3453,308	0,7849	15,7	3372,332	0,7849	15,7	3483,192	0,7849	15,7	3250,541	0,7849333	15,7	3228,293	0,7849	15,7	3205,998	0,7849333	15,7	915,8937	0,7848	15,7	580,3466	0,7848667
15,8	977,7355	0,7898334	15,8	913,6891	0,7898334	15,8	0,0007947286	0,7898334	15,8	3479,51	0,7898	15,8	3398,884	0,7897667	15,8	3509,638	0,7897667	15,8	3280,163	0,7897667	15,8	3257,779	0,7898	15,8	3235,57	0,7897667	15,8	938,5212	0,7898	15,8	589,9271	0,7898334
15,9	1000,742	0,7948334	15,9	935,9598	0,7948334	15,9	-0,0111262	0,7948334	15,9	3504,926	0,7947667	15,9	3424,619	0,7948	15,9	3535,329	0,7948334	15,9	3308,474	0,7947667	15,9	3286,254	0,7947667	15,9	3264,119	0,7948	15,9	961,1821	0,7947667	15,9	599,2119	0,7948334
16	1024,349	0,7999333	16	958,6724	0,7999	16	-0,003973643	0,7999	16	3531,635	0,7999333	16	3451,637	0,7999667	16	3561,967	0,7999667	16	3338,087	0,7999333	16	3315,919	0,7999	16	3293,841	0,7999	16	984,1251	0,7999	16	608,7549	0,7998667
16,1	1047,554	0,8048667	16,1	981,3467	0,8048334	16,1	-0,007947286	0,8048	16,1	3557,451	0,8047667	16,1	3478,031	0,8048	16,1	3588,378	0,8047667	16,1	3366,179	0,8047667	16,1	3344,169	0,8048	16,1	3322,227	0,8048334	16,1	1006,723	0,8048	16,1	618,5269	0,8048334
16,2	1070,968	0,8098667	16,2	1003,652	0,8098333	16,2	-0,008742015	0,8098333	16,2	3583,255	0,8098667	16,2	3504,325	0,8098667	16,2	3614,738	0,8098667	16,2	3394,762	0,8098333	16,2	3372,761	0,8098667	16,2	3350,703	0,8098667	16,2	1029,591	0,8098333	16,2	627,8515	0,8098333
16,3	1094,887	0,8149334	16,3	1026,607	0,8149	16,3	0,002384186	0,8149334	16,3	3610,201	0,8149334	16,3	3531,415	0,8149667	16,3	3641,467	0,8149334	16,3	3423,824	0,8149	16,3	3402,218	0,8149	16,3	3380,003	0,8149	16,3	1052,85	0,8148667	16,3	637,1673	0,8148667
16,4	1118,038	0,8198667	16,4	1049,031	0,8198333	16,4	-0,0222524	0,8199	16,4	3634,88	0,8198333	16,4	3556,941	0,8198	16,4	3667,202	0,8198333	16,4	3450,711	0,8198	16,4	3429,356	0,8198333	16,4	3407,101	0,8198	16,4	1075,585	0,8198	16,4	646,6111	0,8198
16,5	1141,645	0,8249	16,5	1071,829	0,8249	16,5	-0,008742015	0,8248667	16,5	3660,969	0,8248333	16,5	3583,43	0,8248667	16,5	3693,674	0,8248333	16,5	3478,783	0,8248333	16,5	3457,637	0,8248667	16,5	3435,425	0,8249	16,5	1098,664	0,8248667	16,5	655,9611	0,8247667
16,6	1165,869	0,8299	16,6	1095,315	0,8299	16,6	-0,01271566	0,8299	16,6	3687,979	0,8298333	16,6	3610,732	0,8298333	16,6	3720,939	0,8298666	16,6	3507,584	0,8298333	16,6	3486,751	0,8298666	16,6	3464,134	0,8298666	16,6	1122,044	0,8298	16,6	665,4628	0,8299
16,7	1189,085	0,8348667	16,7	1117,794	0,8348	16,7	-0,003973643	0,8348333	16,7	3713,119	0,8348	16,7	3636,566	0,8348	16,7	3746,622	0,8348	16,7	3534,574	0,8348	16,7	3514,062	0,8348	16,7	3491,36	0,8348	16,7	1145,006	0,8348	16,7	674,7182	0,8347667
16,8	1213,126	0,8399	16,8	1141,236	0,8398333	16,8	-0,0007947286	0,8398667	16,8	3739,352	0,8399	16,8	3663,648	0,8399	16,8	3773,796	0,8399333	16,8	3562,971	0,8399	16,8	3542,863	0,8399333	16,8	3519,753	0,8399	16,8	1168,652	0,8398333	16,8	684,127	0,8399
16,9	1237,33	0,8448667	16,9	1164,719	0,8448333	16,9	0,05165736	0,8448667	16,9	3766,29	0,8448	16,9	3691,309	0,8448	16,9	3801,259	0,8448333	16,9	3590,908	0,8448	16,9	3571,233	0,8448	16,9	3547,993	0,8448	16,9	1192,227	0,8447334	16,9	693,6757	0,8449
17	1260,546	0,8498667	17	1187,576	0,8498	17	0,06834666	0,8498	17	3791,482	0,8498667	17	3717,156	0,8498	17	3826,846	0,8498	17	3617,387	0,8498	17	3598,294	0,8498	17	3575,205	0,8497667	17	1215,535	0,8498	17	702,9939	0,8498
17,1	1285,307	0,8548667	17,1	1211,25	0,8549333	17,1	0,2320607	0,8549	17,1	3818,057	0,8549667	17,1	3744,866	0,8549333	17,1	3854,135	0,8549667	17,1	3645,674	0,8549333	17,1	3626,652	0,8549667	17,1	3603,297	0,855	17,1	1239,838	0,8548667	17,1	712,293	0,8548334
17,2	1309,342	0,8599	17,2	1234,602	0,8598334	17,2	0,2948443	0,8598667	17,2	3844,171	0,8597667	17,2	3771,683	0,8598	17,2	3880,901	0,8597667	17,2	3672,485	0,8597333	17,2	3654,526	0,8598	17,2	3630,83	0,8598	17,2	1263,557	0,8598	17,2	721,7971	0,8598334
17,3	1333,613	0,8648667	17,3	1258,259	0,8648334	17,3	0,9218852	0,8648667	17,3	3870,031	0,8648	17,3	3798,01	0,8648	17,3	3907,219	0,8648	17,3	3699,003	0,8648334	17,3	3681,8	0,8648334	17,3	3658,14	0,8647667	17,3	1287,626	0,8648334	17,3	730,9842	0,8648334
17,4	1358,183	0,8699	17,4	1282,267	0,8699	17,4	1,285076	0,8698667	17,4	3897,028	0,8699	17,4	3825,881	0,8699	17,4	3934,875	0,8699667	17,4	3726,414	0,8699334	17,4	3710,072	0,8699	17,4	3686,516	0,8699334	17,4	1312,114	0,8698667	17,4	740,4248	0,8698667
17,5	1382,717	0,8748333	17,5	1306,057	0,8748333	17,5	3,434022	0,8748333	17,5	3922,426	0,8747	17,5	3851,84	0,8747666	17,5	3960,552	0,8747666	17,5	3751,489	0,8747666	17,5	3736,876	0,8747666	17,5	3712,823	0,8747666	17,5	1336,024	0,8748	17,5	749,805	0,8748
17,6	1407,318	0,8798333	17,6	1330,289	0,8798	17,6	7,240772	0,8798333	17,6	3948,623	0,8798333	17,6	3878,311	0,8798333	17,6	3987,222	0,8798	17,6	3778,157	0,8798	17,6	3764,741	0,8798	17,6	3740,888	0,8798333	17,6	1360,378	0,8798333	17,6	758,9937	0,8798
17,7	1432,658	0,8849	17,7	1355,082	0,8848667	17,7	12,67115	0,8849	17,7	3976,428	0,8849	17,7	3906,356	0,8849667	17,7	4015,197	0,8849334	17,7	3806,009	0,8849334	17,7	3794,125	0,8849	17,7	3770,011	0,8849	17,7	1384,943	0,8848333	17,7	768,3698	0,8849
17,8	1456,973	0,8898333	17,8	1379,026	0,8898333	17,8	19,1021	0,8898333	17,8	4001,112	0,8898667	17,8	3931,736	0,8898	17,8	4040,609	0,8898	17,8	3831,9	0,8897667	17,8	3820,198	0,8898	17,8	3795,896	0,8898333	17,8	1409,067	0,8898	17,8	777,6364	0,8898333
17,9	1482,199	0,8949333	17,9	1403,88	0,8949	17,9	26,93176	0,8949333	17,9	4027,871	0,895	17,9	3958,836	0,8949667	17,9	4067,204	0,895	17,9	3858,944	0,8949333	17,9	3848,051	0,895	17,9	3823,903	0,895	17,9	1433,688	0,8949	17,9	786,9665	0,8948
18	1507,213	0,8999	18	1428,513	0,8998667	18	35,56013	0,8998333	18	4054,86	0,8998333	18	3986,552	0,8998667	18	4094,99	0,8998667	18	3886,883	0,8998333	18	3876,007	0,8998667	18	3851,606	0,8998333	18	1458,004	0,8998667	18	796,2974	0,8998667
18,1	1531,358	0,9048667	18,1	1452,126	0,9048667	18,1	44,79647	0,9049	18,1	4079,63	0,9048	18,1	4011,741	0,9048	18,1	4119,636	0,9048333	18,1	3911,834	0,9048333	18,1	3901,742	0,9048333	18,1	3877,217	0,9048333	18,1	1481,999	0,9048	18,1	805,4996	0,9048
18,2	1556,068	0,9099	18,2	1476,247	0,9099	18,2	54,52156	0,9099	18,2	4105,596	0,9099666	18,2	4037,866	0,9099666	18,2	4145,831	0,9099666	18,2	3939,008	0,9099666	18,2	3928,695	0,9099666	18,2	3904,099	0,9099666	18,2	1506,198	0,9099	18,2	814,7597	0,9098
18,3	1580,719	0,9148667	18,3	1500,464	0,9148334	18,3	64,6313	0,9148334	18,3	4131,045	0,9148	18,3	4063,928	0,9148334	18,3	4171,777	0,9148	18,3	3965,743	0,9148	18,3	3955,446	0,9148334	18,3	3931,027	0,9148	18,3	1530,186	0,9148	18,3	824,2432	0,9148334
18,4	1605,042	0,9198334	18,4	1524,403	0,9198334	18,4	75,2767	0,9198334	18,4	4156,4	0,9197667	18,4	4089,504	0,9198	18,4	4197,203	0,9198	18,4	3991,97	0,9198	18,4	3981,526	0,9198334	18,4	3957,011	0,9198	18,4	1554,201	0,9198334	18,4	833,3087	0,9198334
18,5	1629,787	0,9249	18,5	1548,688	0,9249	18,5	86,62939	0,9248667	18,5	4182,371	0,9249333	18,5	4115,838	0,9249333	18,5	4223,383	0,9249333	18,5	4019,51	0,9249	18,5	4008,711	0,9249	18,5	3984,163	0,9249333	18,5	1578,295	0,9248	18,5	842,6221	0,9249
18,6	1654,045	0,9298	18,6	1572,538	0,9298334	18,6	98,36913	0,9298334	18,6	4207,381	0,9297333	18,6	4141,047	0,9297	18,6	4248,375	0,9297333	18,6	4045,498	0,9297667	18,6	4034,393	0,9297667	18,6	4009,691	0,9297667	18,6	1602,29	0,9297333	18,6	851,6709	0,9298667
18,7	1678,399	0,9348333	18,7	1596,398	0,9348	18,7	110,7868	0,9348333	18,7	4232,37	0,9348333	18,7	4166,663	0,9347667	18,7	4273,475	0,9347667	18,7	4071,763	0,9348	18,7	4060,465	0,9347333	18,7	4035,672	0,9347667	18,7	1626,097	0,9348	18,7	860,5004	0,9348333
18,8	1703,249	0,9399	18,8	1620,818	0,9398333	18,8	124,2749	0,9398667	18,8	4258,718	0,9399	18,8	4193,235	0,9399	18,8	4300,099	0,9399	18,8	4099,577	0,9399	18,8	4087,386	0,9398667	18,8	4062,426	0,9399334	18,8	1650,789	0,9398667	18,8	869,3997	0,9399
18,9	1727,3	0,9448667	18,9	1644,471	0,9448333	18,9	138,0547	0,9448667	18,9	4283,225	0,9447667	18,9	4217,814	0,9447667	18,9	4324,486	0,9448333	18,9	4124,74	0,9447667	18,9	4112,668	0,9448	18,9	4087,438	0,9448333	18,9	1674,622	0,9448	18,9	878,2371	0,9448333
19	1751,857	0,9498667	19	1668,436	0,9498667	19	152,5267	0,9498667	19	4308,383	0,9499	19	4243,448	0,9498667	19	4349,669	0,9499	19	4151,038	0,9499	19	4138,729	0,9499	19	4113,201	0,9499	19	1698,804	0,9498667	19	886,9513	0,9498333
19,1	1776,405	0,9548666	19,1	1692,444	0,9548333	19,1	167,5026	0,9548333	19,1	4334,65	0,9548666	19,1	4269,6	0,9548666	19,1	4375,98	0,9548333	19,1	4178,016	0,9548333	19,1	4165,439	0,9548333	19,1	4139,797	0,9548666	19,1	1723,409	0,9548333	19,1	895,7648	0,9548666
19,2	1800,259	0,9598	19,2	1716,172	0,9598	19,2	182,6088	0,9598	19,2	4358,494	0,9597667	19,2	4293,768	0,9598	19,2	4399,742	0,9597667	19,2	4202,732	0,9597667	19,2	4190,376	0,9598	19,2	4164,427	0,9598	19,2	1747,483	0,9598	19,2	904,3837	0,9598
19,3	1824,335	0,9648667	19,3	1740,045	0,9648667	19,3	198,0019	0,9648667	19,3	4383,969	0,9649667	19,3	4319,583	0,9649333	19,3	4425,343	0,9649667	19,3	4228,798	0,9649	19,3	4216,381	0,9649333	19,3	4190,172	0,9649333	19,3	1771,743	0,9648667	19,3	913,0462	0,9648
19,4	1849,335	0,9698667	19,4	1764,809	0,9698667	19,4	213,8114	0,9698333	19,4	4409,8	0,9698333	19,4	4346,025	0,9698	19,4	4451,252	0,9698	19,4	4255,259	0,9698	19,4	4243,019	0,9698	19,4	4216,462	0,9698333	19,4	1796,714	0,9697667	19,4	921,8693	0,9699
19,5	1872,886	0,9748667	19,5	1788,582	0,9748334	19,5	229,3158	0,9748334	19,5	4434,02	0,9749	19,5	4370,434	0,9748667	19,5	4475,555	0,9748334	19,5	4279,932	0,9748334	19,5	4267,807	0,9749	19,5	4241,31	0,9748334	19,5	1820,46	0,9748334	19,5	930,4539	0,9748334
19,6	1897,52	0,9799333	19,6	1812,793	0,9798667	19,6	245,0323	0,9799	19,6	4459,597	0,9800333	19,6	4396,471	0,9800333	19,6	4501,153	0,9799667	19,6	4306,127	0,9800333	19,6	4293,887	0,9800333	19,6	4267,176	0,9800333	19,6	1844,863	0,9799	19,6	939,103	0,9798334
19,7	1922,153	0,9848667	19,7	1836,979	0,9848667	19,7	260,582	0,9849	19,7	4484,139	0,9847667	19,7	4421,46	0,9847667	19,7	4525,862	0,9847667	19,7	4330,452	0,9847667	19,7	4318,542	0,9847667	19,7	4291,813	0,9848	19,7	1869,256	0,9848	19,7	947,7592	0,9848334
19,8	1946,163	0,9898667	19,8	1860,676	0,9898334	19,8	276,2635	0,9898334	19,8	4508,422	0,9898	19,8	4446,292	0,9898	19,8	4550,08	0,9898	19,8	4354,912	0,9897667	19,8	4343,186	0,9898	19,8	4316,228	0,9897667	19,8	1893,54	0,9898	19,8	956,2501	0,9898334
19,9	1970,785	0,9949334	19,9	1884,828	0,9949	19,9	292,5269	0,9949	19,9	4534,135	0,9949334	19,9	4472,262	0,9949667	19,9	4575,854	0,9949667	19,9	4380,458	0,9949334	19,9	4368,683	0,9949667	19,9	4341,619	0,9949334	19,9	1917,946	0,9948334	19,9	964,9046	0,9949
20	1995,099	0,9998667	20	1908,671	0,9998333	20	309,0381	0,9998333	20	4558,071	0,9997667	20	4496,647	0,9998	20	4600,081	0,9998	20	4404,33	0,9997667	20	4392,642	0,9998	20	4365,424	0,9998333	20	1941,975	0,9998	20	973,6117	0,9998333
20,1	2019,432	1,004867	20,1	1932,757	1,004833	20,1	325,865	1,004833	20,1	4582,924	1,0049	20,1	4521,653	1,004833	20,1	4625,168	1,004867	20,1	4429,297	1,004867	20,1	4417,249	1,004867	20,1	4390,001	1,004867	20,1	1966,248	1,0048	20,1	981,9627	1,0049
20,2	2044,218	1,0099	20,2	1957,171	1,0099	20,2	343,1582	1,009867	20,2	4608,981	1,009867	20,2	4548,002	1,0099	20,2	4651,487	1,0099	20,2	4455,22	1,0099	20,2	4442,903	1,0099	20,2	4415,594	1,0099	20,2	1990,797	1,0098	20,2	990,5346	1,009867
20,3	2067,981	1,014833	20,3	1980,892	1,0148	20,3	360,5692	1,014833	20,3	4632,734	1,014733	20,3	4571,898	1,0148	20,3	4675,089	1,014767	20,3	4477,941	1,014767	20,3	4465,437	1,014767	20,3	4437,837	1,014767	20,3	2014,589	1,014733	20,3	999,0271	1,014833
20,4	2092,349	1,019867	20,4	2004,881	1,019833	20,4	378,0826	1,019833	20,4	4657,423	1,0199	20,4	4597,112	1,0199	20,4	4700,514	1,0199	20,4	4502,06	1,0199	20,4	4489,792	1,019867	20,4	4461,983	1,019833	20,4	2038,794	1,019867	20,4	1007,494	1,019833
20,5	2117,532	1,0249	20,5	2029,61	1,024867	20,5	396,2978	1,024867	20,5	4683,779	1,024833	20,5	4623,694	1,024833	20,5	4726,608	1,024833	20,5	4527,341	1,024833	20,5	4514,601	1,024867	20,5	4486,801	1,024833	20,5	2063,301	1,0248	20,5	1016,003	1,024867
20,6	2141,113	1,0299	20,6	2053,242	1,029833	20,6	414,0027	1,029867	20,6	4707,112	1,029833	20,6	4648,029	1,0298	20,6	4750,689	1,029833	20,6	4549,647	1,029767	20,6	4537,049	1,029767	20,6	4508,388	1,029767	20,6	2087,062	1,029767	20,6	1024,346	1,029833
20,7	2165,496	1,034933	20,7	2077,302	1,0349	20,7	431,8507	1,0349	20,7	4732,216	1,034967	20,7	4673,322	1,034967	20,7	4776,001	1,034967	20,7	4573,039	1,034967	20,7	4560,77	1,034967	20,7	4531,739	1,034967	20,7	2111,464	1,0349	20,7	1032,831	1,034833
20,8	2190,126	1,039833	20,8	2101,473	1,0398	20,8	450,3393	1,039833	20,8	4757,057	1,039767	20,8	4699,008	1,039767	20,8	4801,39	1,039767	20,8	4595,93	1,039733	20,8	4583,731	1,039767	20,8	4554,586	1,039767	20,8	2135,562	1,039767	20,8	1041,404	1,039833
20,9	2213,878	1,044833	20,9	2125,012	1,0448	20,9	468,5712	1,044833	20,9	4780,59	1,044767	20,9	4723,047	1,044767	20,9	4825,129	1,044767	20,9	4617,605	1,044767	20,9	4605,328	1,044867	20,9	4575,932	1,044767	20,9	2159,421	1,044767	20,9	1049,647	1,044767
21	2238,146	1,049967	21	2149,2	1,0499	21	487,2942	1,0499	21	4806,255	1,049933	21	4748,937	1,049967	20,99	4848,266	1,048933	21	4641,117	1,05	21	4628,666	1,049967	21	4598,958	1,049967	21	2183,868	1,049867	21	1058,104	1,0499
21,1	2262,375	1,054867	21,1	2173,095	1,054833	21,1	506,4011	1,054867	21,1	4830,454	1,054767	21,1	4773,498	1,054767				21,1	4663,227	1,054767	21,1	4650,82	1,0548	21,1	4620,77	1,0548	21,1	2207,686	1,0548	21,1	1066,504	1,054867
21,2	2286,181	1,059867	21,2	2196,548	1,059867	21,2	525,8457	1,0599	21,2	4855,105	1,059867	21,2	4798,523	1,059833				21,2	4685,32	1,0599	21,2	4672,879	1,0599	21,2	4642,671	1,059867	21,2	2231,742	1,059833	21,2	1074,6	1,059867
21,3	2310,908	1,064967	21,3	2221,198	1,0649	21,3	545,8911	1,064867	21,3	4880,604	1,064933	21,3	4824,415	1,064967				21,3	4708,509	1,064967	21,3	4696,229	1,064967	21,3	4665,786	1,064933	21,3	2256,261	1,0649	21,3	1082,663	1,064867
21,4	2334,523	1,069867	21,4	2244,683	1,0698	21,4	565,6052	1,069867	21,4	4903,759	1,069767	21,4	4848,224	1,069767				21,4	4728,99	1,069767	21,4	4716,286	1,069767	21,4	4685,665	1,069833	21,4	2279,569	1,069833	21,4	1090,79	1,069833
21,5	2358,39	1,0749	21,5	2268,18	1,074833	21,5	585,5441	1,074867	21,5	4928,284	1,074833	21,5	4872,944	1,074833				21,5	4750,794	1,074867	21,5	4738,278	1,074867	21,5	4707,408	1,0749	21,5	2303,519	1,074867	21,5	1098,684	1,0748
21,6	2383,168	1,079867	21,6	2292,523	1,0799	21,6	606,0862	1,079867	21,6	4954,028	1,079833	21,6	4899,368	1,079867				21,6	4773,238	1,079867	21,6	4760,818	1,079833	21,6	4729,766	1,079867	21,6	2328,214	1,0798	21,6	1106,527	1,079833
21,7	2406,561	1,084833	21,7	2316,051	1,0848	21,7	626,2366	1,084833	21,7	4977,488	1,0848	21,7	4922,833	1,0848				21,7	4793,423	1,084767	21,7	4780,693	1,084767	21,7	4749,456	1,084767	21,7	2351,805	1,0848	21,7	1114,326	1,0848
21,8	2431,439	1,0899	21,8	2340,481	1,089867	21,8	647,3557	1,089867	21,8	5002,302	1,089967	21,8	4947,986	1,089933				21,8	4815,448	1,089967	21,8	4802,494	1,089933	21,8	4771,107	1,089933	21,8	2376,442	1,089867	21,8	1122,069	1,089833
21,9	2456,399	1,094833	21,9	2365,221	1,0948	21,9	668,7133	1,094833				21,9	4973,187	1,094767				21,9	4837,666	1,0948				21,9	4792,873	1,0948	21,9	2401,1	1,094767	21,9	1129,841	1,0949
22	2479,896	1,099833	22	2388,649	1,099833	22	689,7338	1,099767				22	4996,561	1,099767													22	2424,996	1,099767	22	1137,248	1,099833
22,1	2504,597	1,104933	22,1	2413,079	1,104933	22,1	711,0254	1,1049																			22,1	2449,666	1,104867	22,1	1144,662	1,104867
22,2	2529,219	1,109833	22,2	2437,514	1,109833	22,2	732,9385	1,109833																			22,2	2473,942	1,1098	22,2	1152,089	1,109867
22,3	2553,218	1,114867	22,3	2461,395	1,114833	22,3	754,4041	1,114867																			22,3	2498,48	1,1148	22,3	1159,19	1,114833
22,4	2577,911	1,119967	22,4	2485,623	1,119933	22,4	776,5166	1,119867																			22,4	2523,314	1,119867	22,4	1166,162	1,119867
22,5	2601,972	1,124833	22,5	2509,523	1,124767	22,5	798,5568	1,124833																			22,5	2547,15	1,124767	22,5	1173,069	1,1248
22,6	2626,003	1,129833	22,6	2533,543	1,129833	22,6	820,5867	1,129833																			22,6	2571,596	1,1298	22,6	1179,257	1,129833
22,7	2650,976	1,134933	22,7	2558,68	1,134967	22,7	843,4097	1,1349																			22,7	2597,164	1,134833	22,7	1185,309	1,134867
22,8	2674,968	1,139867	22,8	2582,507	1,139833	22,8	865,7758	1,139833																			22,8	2620,773	1,1399	22,8	1190,75	1,139833
22,9	2699,375	1,1449	22,9	2606,654	1,144867	22,9	888,2665	1,1449																			22,9	2645,216	1,1449	22,9	1195,316	1,144833
23	2724,27	1,149933	23	2631,586	1,149867	23	911,1849	1,149867																			23	2669,987	1,149833	23	1198,975	1,149867
23,1	2747,781	1,154867	23,1	2654,981	1,154833	23,1	933,5454	1,154867																			23,1	2693,957	1,154833	23,1	1201,226	1,1548
23,2	2771,986	1,159933	23,2	2679,311	1,1599	23,2	956,1984	1,1599																			23,2	2717,972	1,159933	23,2	1201,669	1,159833
23,3	2796,16	1,164867	23,3	2703,161	1,164833	23,3	978,961	1,164833																			23,3	2741,76	1,164767	23,3	1199,552	1,164867
23,4	2819,993	1,169833	23,4	2726,674	1,1698	23,4	1001,714	1,1698																			23,4	2765,961	1,1698	23,4	1193,593	1,1698
23,5	2844,073	1,1749	23,5	2750,772	1,1749	23,5	1024,567	1,174867																			23,5	2790,042	1,1748	23,5	1183,063	1,1749
23,6	2867,987	1,179767	23,6	2774,495	1,179767	23,6	1047,595	1,179833																			23,6	2813,746	1,179733	23,6	1166,159	1,179867
23,7	2891,381	1,184833	23,7	2797,933	1,184833	23,7	1070,258	1,184833																			23,7	2837,509	1,1848	23,7	1140,92	1,184833
23,8	2915,323	1,1899	23,8	2821,96	1,189867	23,8	1093,331	1,189867																			23,8	2861,598	1,189833	23,8	1104,676	1,1899
23,9	2938,812	1,194833	23,9	2845,059	1,194867	23,9	1115,913	1,194833																			23,9	2884,868	1,1948	23,9	1051,155	1,194867
24	2962,76	1,199833	24	2868,865	1,199833	24	1138,647	1,199833																			24	2908,744	1,199867	24	925,4233	1,201367
24,1	2986,498	1,204867	24,1	2892,517	1,204833	24,1	1161,605	1,204867																			24,1	2932,285	1,204833			
24,2	3009,335	1,2098	24,2	2915,585	1,2098	24,2	1184,208	1,209833																			24,2	2955,45	1,209767			
24,3	3032,813	1,214933	24,3	2938,963	1,214867	24,3	1207,152	1,214833																			24,3	2979,413	1,214867			
24,4	3056,963	1,219867	24,4	2963,363	1,219833	24,4	1230,445	1,219867																			24,4	3003,547	1,219833			
24,5	3080,264	1,224867	24,5	2986,101	1,224867	24,5	1252,999	1,2249																			24,5	3026,954	1,224867			
24,6	3103,937	1,229967	24,6	3010,337	1,229933	24,6	1276,187	1,229933																			24,6	3051,139	1,229933			
24,7	3127,747	1,234833	24,7	3033,918	1,2348	24,7	1299,571	1,234867																			24,7	3074,181	1,234767			
24,8	3150,989	1,239867	24,8	3057,209	1,239833	24,8	1322,763	1,239867																			24,8	3097,715	1,2398			
24,9	3175,093	1,244967	24,9	3081,051	1,244933	24,9	1345,925	1,2449																			24,9	3122,013	1,244867			
25	3198,41	1,249833	25	3104,529	1,2498	25	1369,334	1,249833																			25	3145,445	1,249767			
25,1	3222,299	1,254867	25,1	3128,413	1,254833	25,1	1392,752	1,254867																			25,1	3169,513	1,254833			
25,2	3247,019	1,259967	25,2	3152,941	1,259933	25,2	1416,828	1,259867																			25,2	3194,182	1,259833			
25,3	3269,854	1,264833	25,3	3175,788	1,264833	25,3	1440,217	1,2648																			25,3	3217,084	1,2648			
25,4	3293,419	1,2699	25,4	3199,783	1,269833	25,4	1464,049	1,269867																			25,4	3240,838	1,269867			
25,5	3317,598	1,274867	25,5	3224,187	1,2748	25,5	1488,291	1,274867																			25,5	3264,943	1,2748			
25,6	3340,129	1,279833	25,6	3247,085	1,279833	25,6	1511,642	1,279833																			25,6	3288,128	1,279833			
25,7	3363,449	1,2849	25,7	3270,686	1,2849	25,7	1535,343	1,284867																			25,7	3311,683	1,2849			
25,8	3386,854	1,289833	25,8	3294,816	1,2898	25,8	1559,243	1,289833																			25,8	3335,362	1,289733			
25,9	3409,454	1,2949	25,9	3318,066	1,294833	25,9	1583,07	1,294833																			25,9	3358,451	1,294767			
26	3433,262	1,3	26	3342,215	1,299967	26	1607,23	1,299933																			26	3382,297	1,2999			
26,1	3456,798	1,3048	26,1	3366,039	1,3048	26,1	1631,284	1,304833																			26,1	3405,624	1,3048			
26,2	3480,341	1,309867	26,2	3389,722	1,309867	26,2	1655,443	1,3098																			26,2	3429,55	1,3098			
26,3	3503,873	1,314967	26,3	3413,625	1,3149	26,3	1679,577	1,3149																			26,3	3453,527	1,314867			
26,4	3526,855	1,319833	26,4	3436,641	1,3198	26,4	1703,37	1,319867																			26,4	3476,459	1,319767			
26,5	3550,452	1,324833	26,5	3460,106	1,324767	26,5	1727,235	1,324833																			26,5	3500,108	1,324833			
26,6	3574,719	1,3299	26,6	3483,98	1,329867	26,6	1751,692	1,329867																			26,6	3524,238	1,329767			
26,7	3597,538	1,334867	26,7	3506,884	1,334833	26,7	1775,213	1,334833																			26,7	3547,467	1,3348			
26,8	3621,374	1,339933	26,8	3530,549	1,339867	26,8	1799,424	1,339833																			26,8	3571,337	1,3399			
26,9	3645,688	1,344833	26,9	3554,191	1,344867	26,9	1823,984	1,344867																			26,9	3595,322	1,344767			
27	3668,353	1,349833	27	3576,906	1,349833	27	1847,585	1,3498																			27	3618,532	1,349767			
27,1	3692,602	1,354967	27,1	3601,148	1,3549	27,1	1872,017	1,3549																			27,1	3642,789	1,3549			
27,2	3715,955	1,359833	27,2	3624,697	1,3598	27,2	1896,625	1,359833																			27,2	3665,956	1,359767			
27,3	3739,339	1,364867	27,3	3647,767	1,364833	27,3	1920,501	1,364867																			27,3	3689,307	1,364833			
27,4	3763,265	1,369933	27,4	3672,082	1,3699	27,4	1944,869	1,3699																			27,4	3713,536	1,369867			
27,5	3785,985	1,3748	27,5	3694,768	1,374767	27,5	1968,803	1,374833																			27,5	3735,999	1,374733			
27,6	3809,106	1,379833	27,6	3717,914	1,379767	27,6	1992,944	1,3798																			27,6	3759,428	1,3798			
27,7	3833,568	1,384967	27,7	3742,222	1,384967	27,7	2017,985	1,384933																			27,7	3783,854	1,3849			
