1 ¦			2 ¦			3 ¦			1 - (_6,5мм)			2 -			3 -			1 ? (_9,5мм)			2 ?			3 ?			1 ¦ (+16мм)			изгиб 1 (—мм)		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
2,6	23,09084	0,1298333	2,6	-0,006357829	0,1298333	2,6	-0,001589457	0,1298333	2,6	180,6275	0,1298333	2,6	82,53972	0,1298333	2,6	168,4944	0,1298333	2,6	0,0007947286	0,1298333	2,6	-0,003973643	0,1298667	2,6	0,02145767	0,1298333	2,6	0,007947286	0,1298333	2,6	0,01192093	0,1298333
2,7	32,07763	0,1348667	2,7	0,007152557	0,1348667	2,7	0,003178914	0,1348667	2,7	195,9403	0,1348667	2,7	97,61015	0,1348667	2,7	183,7699	0,1348667	2,7	-0,001589457	0,1349	2,7	0,01589457	0,1349	2,7	0,007152557	0,1349	2,7	-0,003178914	0,1348667	2,7	0,007152557	0,1349
2,8	41,5961	0,1399	2,8	0,01827876	0,1398333	2,8	0,002384186	0,1398	2,8	211,1936	0,1398667	2,8	112,8133	0,1398667	2,8	199,2019	0,1399	2,8	0,02145767	0,1398333	2,8	-0,01271566	0,1398667	2,8	0,004768372	0,1398667	2,8	-0,008742015	0,1397333	2,8	-0,0055631	0,1398333
2,9	51,65179	0,1449667	2,9	-0,003973643	0,1449	2,9	0,01589457	0,1448667	2,9	226,9729	0,1449	2,9	128,6682	0,1449	2,9	215,5844	0,1449	2,9	0,009536743	0,1449	2,9	-0,008742015	0,1449333	2,9	0,0007947286	0,1449	2,9	-0,0166893	0,1448667	2,9	0,02543131	0,1448333
3	62,13427	0,1499	3	0,002384186	0,1499	3	0,01192093	0,1499333	3	243,5668	0,1499	3	145,0237	0,1499	3	233,0883	0,1499333	3	-0,001589457	0,1499	3	0,003178914	0,1499	3	0,01589457	0,1499	3	0,009536743	0,1498333	3	0,03814697	0,1498333
3,1	72,64296	0,1548667	3,1	-0,003178914	0,1548667	3,1	0,02145767	0,1548667	3,1	260,4644	0,1549	3,1	161,3609	0,1548667	3,1	250,7774	0,1548333	3,1	0,007947286	0,1548333	3,1	0,02384186	0,1548667	3,1	0,002384186	0,1549	3,1	-0,0007947286	0,1548333	3,1	0,02066294	0,1548
3,2	82,7376	0,1599	3,2	-0,03099442	0,1598667	3,2	0,01351039	0,1598667	3,2	277,9579	0,1599	3,2	177,9222	0,1599	3,2	268,7534	0,1599	3,2	0,02066294	0,1599	3,2	0,01827876	0,1598667	3,2	0,03178914	0,1599	3,2	-0,003973643	0,1598667	3,2	0,02066294	0,1598333
3,3	92,7043	0,1648667	3,3	0,01907349	0,1648333	3,3	0,009536743	0,1648667	3,3	295,8337	0,1648667	3,3	194,5845	0,1648333	3,3	286,7325	0,1648333	3,3	0,004768372	0,1648333	3,3	0,02384186	0,1648333	3,3	0,02940496	0,1648333	3,3	-0,01430511	0,1648333	3,3	0,01430511	0,1648667
3,4	102,0328	0,1698667	3,4	0,007947286	0,1698333	3,4	0,01589457	0,1698333	3,4	313,7867	0,1698333	3,4	211,211	0,1698333	3,4	304,8777	0,1698333	3,4	0,003178914	0,1698333	3,4	0,01430511	0,1698333	3,4	0,0166893	0,1698333	3,4	-0,01986822	0,1698333	3,4	0,04053116	0,1698333
3,5	109,2958	0,1749	3,5	-0,0166893	0,1748667	3,5	0,02145767	0,1748667	3,5	332,1687	0,1749	3,5	228,3541	0,1748667	3,5	323,085	0,1749	3,5	0,002384186	0,1749	3,5	0,02543131	0,1748667	3,5	0,02940496	0,1748667	3,5	-0,008742015	0,1748667	3,5	0,02702077	0,1749
3,6	112,4835	0,1799	3,6	-0,01748403	0,1798	3,6	0,02145767	0,1798333	3,6	350,6772	0,1798	3,6	245,9828	0,1798333	3,6	341,6006	0,1798	3,6	0,02304713	0,1798	3,6	0,07549921	0,1798333	3,6	0,004768372	0,1798667	3,6	-0,001589457	0,1798	3,6	0,03496806	0,1799
3,7	113,1328	0,1848667	3,7	0,007152557	0,1848333	3,7	0,01589457	0,1848333	3,7	369,4272	0,1848333	3,7	264,2187	0,1848	3,7	360,2211	0,1848667	3,7	0,02145767	0,1848333	3,7	0,184377	0,1848333	3,7	0,009536743	0,1848333	3,7	-0,02145767	0,1848	3,7	0,0166893	0,1848333
3,8	112,4072	0,1899667	3,8	0,02304713	0,1899333	3,8	0,02066294	0,1899	3,8	389,1301	0,1898667	3,8	282,9822	0,1898667	3,8	379,7523	0,1899	3,8	0,02304713	0,1898667	3,8	0,3099442	0,1898333	3,8	0,01589457	0,1898667	3,8	-0,0222524	0,1898667	3,8	0,02066294	0,1899
3,9	110,4426	0,1949	3,9	0,007947286	0,1948333	3,9	0,02940496	0,1949	3,9	408,953	0,1948333	3,9	301,8888	0,1948667	3,9	398,9387	0,1948333	3,9	0,05404155	0,1948333	3,9	0,5356471	0,1948333	3,9	0,01430511	0,1948667	3,9	0,003178914	0,1948333	3,9	0,02940496	0,1948333
4	108,6712	0,1999	4	-0,003178914	0,1998667	4	0,02702077	0,1998667	4	429,5182	0,1998667	4	321,1705	0,1998333	4	418,9301	0,1998333	4	0,1780192	0,1998333	4	0,9973844	0,1998667	4	0,03258387	0,1998667	4	0,0007947286	0,1998333	4	0,02304713	0,1998333
4,1	106,7567	0,2049	4,1	-0,003178914	0,2048667	4,1	0,02940496	0,2048667	4,1	450,449	0,2048667	4,1	340,8456	0,2048667	4,1	439,1782	0,2048667	4,1	0,6469091	0,2048	4,1	1,670519	0,2048333	4,1	0,1398722	0,2048333	4,1	0,003178914	0,2047667	4,1	0,02543131	0,2048667
4,2	103,7057	0,2098667	4,2	-0,02145767	0,2098333	4,2	0,01827876	0,2098667	4,2	471,5649	0,2098333	4,2	360,632	0,2098333	4,2	459,5479	0,2098	4,2	1,163483	0,2098333	4,2	2,688567	0,2098333	4,2	0,3504753	0,2098	4,2	-0,01033147	0,2098	4,2	0,02066294	0,2098
4,3	102,3356	0,2149	4,3	-0,0007947286	0,2148333	4,3	0,007152557	0,2148667	4,3	493,3397	0,2149	4,3	380,9293	0,2148667	4,3	480,6042	0,2149	4,3	1,820723	0,2148667	4,3	4,181067	0,2149	4,3	0,7462502	0,2149	4,3	-0,008742015	0,2148667	4,3	0,02384186	0,2148333
4,4	101,8151	0,2199	4,4	-0,001589457	0,2198667	4,4	0,0055631	0,2198333	4,4	515,4133	0,2198667	4,4	401,6129	0,2198333	4,4	502,2399	0,2198333	4,4	2,791087	0,2198667	4,4	6,155968	0,2198667	4,4	1,056194	0,2198667	4,4	-0,01748403	0,2198333	4,4	0,004768372	0,2198667
4,5	99,72334	0,2249	4,5	0,004768372	0,2248333	4,5	0,01430511	0,2248667	4,5	537,262	0,2248333	4,5	421,9619	0,2248667	4,5	523,816	0,2248667	4,5	4,127026	0,2248333	4,5	8,54969	0,2248333	4,5	1,518726	0,2248667	4,5	0,002384186	0,2248333	4,5	0,02145767	0,2248333
4,6	97,88593	0,2299333	4,6	-0,008742015	0,2299333	4,6	0,007947286	0,2299	4,6	559,9833	0,2299	4,6	443,4149	0,2298667	4,6	546,2559	0,2299	4,6	6,32445	0,2299	4,6	11,41946	0,2299	4,6	2,706051	0,2299	4,6	-0,0222524	0,2299	4,6	0,06516775	0,2298667
4,7	97,08961	0,2349	4,7	-0,008742015	0,2348667	4,7	0,004768372	0,2349	4,7	582,8341	0,2348333	4,7	464,6595	0,2349	4,7	568,4391	0,2348667	4,7	9,930134	0,2349	4,7	14,88686	0,2348333	4,7	4,434586	0,2348667	4,7	-0,003973643	0,2348667	4,7	0,4959106	0,2348333
4,8	97,71983	0,2399	4,8	-0,003178914	0,2398667	4,8	0,01351039	0,2398667	4,8	605,6047	0,2398667	4,8	486,6457	0,2398333	4,8	590,7051	0,2398333	4,8	15,25799	0,2398667	4,8	19,42953	0,2398667	4,8	7,047653	0,2398667	4,8	-0,008742015	0,2398333	4,8	1,277924	0,2398333
4,9	100,3202	0,2449333	4,9	-0,007947286	0,2449	4,9	0,01033147	0,2449	4,9	628,9125	0,2449	4,9	509,4774	0,2448667	4,9	613,5885	0,2449333	4,9	21,96391	0,2449	4,9	24,57301	0,2449	4,9	11,12223	0,2449	4,9	-0,006357829	0,2448667	4,9	3,296534	0,2448667
5	103,2527	0,2498667	5	-0,0055631	0,2498333	5	0,0055631	0,2498667	5	651,9365	0,2498	5	532,0875	0,2498333	5	636,5164	0,2498	5	29,83888	0,2498333	5	30,68606	0,2498333	5	17,16852	0,2498333	5	-0,0055631	0,2498	5	6,767909	0,2497667
5,1	104,301	0,2548667	5,1	0,0007947286	0,2548333	5,1	0,01351039	0,2548667	5,1	675,7935	0,2548333	5,1	555,6043	0,2548667	5,1	660,2867	0,2548667	5,1	40,65196	0,2548667	5,1	38,75017	0,2548667	5,1	26,91666	0,2549	5,1	-0,001589457	0,2548	5,1	11,10554	0,2548667
5,2	104,1547	0,2599	5,2	-0,003178914	0,2598667	5,2	0,01907349	0,2598667	5,2	699,807	0,2598	5,2	579,4422	0,2598333	5,2	684,3019	0,2598333	5,2	55,14542	0,2598333	5,2	50,36195	0,2598333	5,2	39,90332	0,2598333	5,2	-0,01986822	0,2598333	5,2	16,0861	0,2599
5,3	103,2162	0,2648667	5,3	0,002384186	0,2648333	5,3	0,007947286	0,2648667	5,3	723,4812	0,2648	5,3	603,1473	0,2648	5,3	708,0102	0,2648	5,3	72,89251	0,2648	5,3	65,87903	0,2648	5,3	55,82094	0,2647667	5,3	0,004768372	0,2648	5,3	21,32098	0,2648333
5,4	102,6106	0,2699	5,4	0,0007947286	0,2698667	5,4	0,003178914	0,2698333	5,4	747,8094	0,2698667	5,4	627,5233	0,2698667	5,4	732,2422	0,2699	5,4	93,73744	0,2699	5,4	84,49078	0,2699	5,4	74,30712	0,2699	5,4	-0,0166893	0,2698333	5,4	26,69493	0,2698667
5,5	102,8037	0,2749	5,5	-0,0007947286	0,2748333	5,5	0,01192093	0,2748667	5,5	772,4913	0,2748667	5,5	652,3013	0,2748667	5,5	756,7723	0,2748333	5,5	116,3673	0,2748333	5,5	105,389	0,2748333	5,5	95,0106	0,2748333	5,5	0,004768372	0,2748667	5,5	32,01246	0,2748667
5,6	103,0596	0,2799	5,6	-0,001589457	0,2798333	5,6	0,0007947286	0,2798667	5,6	796,105	0,2798	5,6	676,562	0,2798333	5,6	780,8161	0,2798333	5,6	139,6378	0,2798333	5,6	127,3497	0,2798667	5,6	117,2447	0,2798667	5,6	0,01033147	0,2798333	5,6	37,49847	0,2798333
5,7	104,0641	0,2849	5,7	-0,003178914	0,2848667	5,7	-0,003178914	0,2848667	5,7	820,4969	0,2848333	5,7	701,4775	0,2849	5,7	805,5472	0,2848667	5,7	163,2659	0,2848667	5,7	150,106	0,2848667	5,7	140,5692	0,2849	5,7	-0,003973643	0,2848333	5,7	43,269	0,2848333
5,8	104,5402	0,2899	5,8	0,003178914	0,2898333	5,8	0,002384186	0,2898333	5,8	844,7075	0,2898333	5,8	725,9543	0,2898333	5,8	829,9216	0,2898333	5,8	186,576	0,2898333	5,8	172,9647	0,2898333	5,8	163,7046	0,2898333	5,8	-0,01986822	0,2898	5,8	49,12456	0,2898333
5,9	103,5984	0,2948667	5,9	0,009536743	0,2948	5,9	0,0007947286	0,2948333	5,9	868,7043	0,2948	5,9	750,3406	0,2948	5,9	854,4151	0,2948	5,9	209,318	0,2948333	5,9	195,5787	0,2948333	5,9	186,8121	0,2948333	5,9	-0,0055631	0,2948	5,9	54,80449	0,2948
6	102,5406	0,2999333	6	-0,0007947286	0,2999333	6	-0,007947286	0,2999	6	893,5189	0,2999333	6	775,0193	0,2999	6	879,6874	0,2999	6	232,6512	0,2998667	6	218,4844	0,2999	6	209,9625	0,2999333	6	0,007947286	0,2998667	6	60,4264	0,2998667
6,1	101,8214	0,3048667	6,1	-0,001589457	0,3048333	6,1	-0,01430511	0,3048333	6,1	917,5007	0,3048333	6,1	799,3738	0,3048333	6,1	904,2263	0,3048333	6,1	256,3024	0,3048	6,1	241,3734	0,3048333	6,1	232,9024	0,3048667	6,1	-0,02861023	0,3047667	6,1	65,65015	0,3048333
6,2	100,1199	0,3099333	6,2	-0,0166893	0,3098667	6,2	-0,0007947286	0,3098667	6,2	941,7097	0,3098333	6,2	823,7242	0,3099	6,2	929,1577	0,3099	6,2	280,7037	0,3099	6,2	264,9522	0,3099	6,2	256,4367	0,3099	6,2	0,004768372	0,3099	6,2	70,38435	0,3098333
6,3	97,1516	0,3149667	6,3	-0,0111262	0,3149333	6,3	0,0055631	0,3149	6,3	966,3749	0,3149333	6,3	848,4912	0,3148667	6,3	954,7242	0,3148667	6,3	306,7064	0,3149	6,3	290,0028	0,3149	6,3	281,3387	0,3149	6,3	0,01430511	0,3148333	6,3	74,69257	0,3148667
6,4	94,6943	0,3198667	6,4	-0,01271566	0,3198667	6,4	-0,01033147	0,3198667	6,4	990,2731	0,3198	6,4	872,9974	0,3198333	6,4	979,4664	0,3198333	6,4	333,3338	0,3198333	6,4	316,4276	0,3198333	6,4	307,4018	0,3198333	6,4	-0,0055631	0,3198667	6,4	78,64396	0,3198
6,5	94,13242	0,3249	6,5	-0,003973643	0,3248333	6,5	0,002384186	0,3248333	6,5	1014,675	0,3248667	6,5	897,6587	0,3248667	6,5	1004,77	0,3248667	6,5	360,9522	0,3248333	6,5	343,3943	0,3248667	6,5	334,3471	0,3248333	6,5	0,01907349	0,3248	6,5	82,03188	0,3248
6,6	93,67068	0,3299	6,6	0,002384186	0,3298667	6,6	0,01351039	0,3299	6,6	1039,344	0,3298333	6,6	922,9318	0,3298667	6,6	1030,39	0,3298667	6,6	389,1047	0,3298333	6,6	371,2209	0,3298667	6,6	361,7613	0,3298333	6,6	-0,01748403	0,3298333	6,6	84,47091	0,3298333
6,7	93,68578	0,3348333	6,7	0,003178914	0,3348333	6,7	0,01033147	0,3348333	6,7	1063,785	0,3348333	6,7	947,7059	0,3348	6,7	1055,461	0,3348667	6,7	417,9915	0,3348333	6,7	399,3758	0,3348	6,7	389,7476	0,3348333	6,7	-0,02145767	0,3348	6,7	86,25984	0,3348333
6,8	93,90831	0,3399	6,8	0,004768372	0,3398333	6,8	0,01192093	0,3398333	6,8	1088,835	0,3398667	6,8	973,4742	0,3398667	6,8	1081,406	0,3398667	6,8	448,1856	0,3398333	6,8	429,3593	0,3398333	6,8	418,7854	0,3398333	6,8	-0,007947286	0,3398667	6,8	87,74916	0,3399
6,9	93,22166	0,3448667	6,9	0,003178914	0,3448	6,9	-0,008742015	0,3448333	6,9	1114,206	0,3448	6,9	998,973	0,3448	6,9	1107,504	0,3448	6,9	478,9082	0,3448	6,9	460,1264	0,3448	6,9	448,7451	0,3448333	6,9	-0,02622604	0,3447667	6,9	88,88721	0,3449
7	92,24017	0,3498	7	0,004768372	0,3498333	7	-0,008742015	0,3498333	7	1138,984	0,3498	7	1024,377	0,3498	7	1132,881	0,3497667	7	509,5403	0,3498	7	490,5049	0,3497667	7	478,9297	0,3498	7	-0,01033147	0,3498	7	90,02209	0,3498667
