1 _ 1			1 _ 2			1 _ 3			1 _ 4			1 _ 5			1 _ 6		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
6,9	545,8649	0,1018333	6,9	419,5508	0,1156	6,9	411,9229	0,1155667	6,9	411,6138	0,1156	6,9	411,9643	0,1155667	6,9	413,9074	0,1156
7	545,5192	0,1018333	7	425,8013	0,1172333	7	418,3237	0,1172333	7	418,0471	0,1172667	7	418,3881	0,1172667	7	420,3415	0,1172667
7,1	545,2045	0,1018	7,1	432,0455	0,1189333	7,1	424,6791	0,1189	7,1	424,4256	0,1189	7,1	424,8317	0,1189	7,1	426,8042	0,1189333
7,2	544,9152	0,1018	7,2	438,3381	0,1206333	7,2	431,0274	0,1205667	7,2	430,8589	0,1205667	7,2	431,3103	0,1205667	7,2	433,2582	0,1205667
7,3	544,6156	0,1018	7,3	444,6578	0,1222667	7,3	437,4425	0,1222333	7,3	437,2517	0,1222667	7,3	437,7103	0,1222333	7,3	439,6852	0,1222667
7,4	544,335	0,1018	7,4	450,8487	0,1239333	7,4	443,7661	0,1239	7,4	443,627	0,1239	7,4	444,1349	0,1239333	7,4	446,1034	0,1239333
7,5	544,0656	0,1018	7,5	457,023	0,1256	7,5	450,1112	0,1255667	7,5	450,0055	0,1255667	7,5	450,5396	0,1255667	7,5	452,5653	0,1256
7,6	543,8177	0,1018	7,6	463,2568	0,1272333	7,6	456,4484	0,1272333	7,6	456,3634	0,1272333	7,6	456,9713	0,1272333	7,6	459,0058	0,1272333
7,7	543,5825	0,1018	7,7	469,4788	0,1289333	7,7	462,7721	0,1289	7,7	462,7554	0,1289333	7,7	463,3737	0,1289	7,7	465,4034	0,1289333
7,8	543,3623	0,1018	7,8	475,6753	0,1306	7,8	469,114	0,1305667	7,8	469,0909	0,1305667	7,8	469,7355	0,1306	7,8	471,7652	0,1306333
7,9	543,1318	0,1018	7,9	481,8233	0,1323	7,9	475,3876	0,1322667	7,9	475,4432	0,1322667	7,9	476,1378	0,1322333	7,9	478,2534	0,1323
8	542,9101	0,1017667	8	488,0262	0,1339333	8	481,7208	0,1339333	8	481,8098	0,1339333	8	482,5695	0,1339	8	484,6287	0,1339
8,1	542,6891	0,1017667	8,1	494,2361	0,1356	8,1	488,0913	0,1355667	8,1	488,1501	0,1355667	8,1	488,8821	0,1355667	8,1	490,9229	0,1356
8,2	542,4937	0,1018	8,2	500,373	0,1372333	8,2	494,2783	0,1372333	8,2	494,3887	0,1372333	8,2	495,1374	0,1372333	8,2	497,1488	0,1372667
