"Имя испытания","Режим испытания","Тип испытания","Заголовок1","Комментарий1","Ключвое слово","Наименование продукта","Имя файла испытания","Имя файла метода","Дата отчета","Дата испытания","Режим испытания","Тип испытания","Скорость","Форма","Серия:","Части серии:"
"Стеклопластик_2013-11-19_ц5-2.xtas","Контрольный","Растяжение","Заголовок","Комментарий"," "," ","Стеклопластик_2013-11-19_ц5-2.xtas","Стеклопластик_ц5.xmas","19.11.2013","19.11.2013","Контрольный","Растяжение","1мм/мин","Плоская","1","1"

"Форма:","Серия:","Часть серии:"
"Плоская","1","1"
"Имя","Толщина","Ширина","Длина базы измерения"
"Размерность:","мм","мм","мм"
"1 _ 1","1,3000","40,1000","110,0000"

"Имя"
"Параметр"
"Единица"
"1 _ 1"

"1 _ 1",
"Время","Сила","Ход"
"сек","Н","мм"
"3,15","15,65933","0,05243333"
"3,16","15,66251","0,0526"
"3,17","15,66013","0,05276667"
"3,18","15,65695","0,05293334"
"3,19","15,65774","0,0531"
"3,2","15,66887","0,05326667"
"3,21","15,68158","0,05346667"
"3,22","15,68953","0,0536"
"3,23","15,69589","0,05376667"
"3,24","15,69986","0,05393333"
"3,25","15,69589","0,05406667"
"3,26","15,68476","0,05426667"
"3,27","15,67602","0,05443333"
"3,28","15,67364","0,0546"
"3,29","15,67523","0,05476667"
"3,3","15,67841","0,05493334"
"3,31","15,68238","0,05506667"
"3,32","15,68635","0,05523333"
"3,33","15,68953","0,0554"
"3,34","15,69192","0,05556667"
"3,35","15,6951","0,05573333"
"3,36","15,6951","0,0559"
"3,37","15,69112","0,05606667"
"3,38","15,68635","0,05623334"
"3,39","15,68635","0,0564"
"3,4","15,68874","0,05656667"
"3,41","15,69351","0,05673333"
"3,42","15,69986","0,0569"
"3,43","15,70702","0,05706667"
"3,44","15,71417","0,05726667"
"3,45","15,71655","0,0574"
"3,46","15,71417","0,0576"
"3,47","15,7094","0,05773333"
"3,48","15,7094","0,05793333"
"3,49","15,71576","0,0581"
"3,5","15,71417","0,05826667"
"3,51","15,70304","0,05843334"
"3,52","15,68953","0,0586"
"3,53","15,68476","0,0588"
"3,54","15,68476","0,05893333"
"3,55","15,68238","0,0591"
"3,56","15,67523","0,05926667"
"3,57","15,67284","0,05943333"
"3,58","15,67841","0,0596"
"3,59","15,68635","0,05976667"
"3,6","15,68874","0,05993333"
"3,61","15,68635","0,06006667"
"3,62","15,68635","0,06023333"
"3,63","15,68715","0,0604"
"3,64","15,68715","0,06056667"
"3,65","15,68715","0,06073333"
"3,66","15,68953","0,0609"
"3,67","15,69192","0,06106667"
"3,68","15,68953","0,06123333"
"3,69","15,68397","0,0614"
"3,7","15,68","0,06156667"
"3,71","15,68635","0,06173334"
"3,72","15,69748","0,06193333"
"3,73","15,70225","0,06206667"
"3,74","15,69589","0,06223333"
"3,75","15,69112","0,0624"
"3,76","15,69112","0,0626"
"3,77","15,68953","0,06276666"
"3,78","15,68238","0,06293333"
"3,79","15,67602","0,0631"
"3,8","15,67761","0,06326666"
"3,81","15,68635","0,06343333"
"3,82","15,69589","0,0636"
"3,83","15,70066","0,06376667"
"3,84","15,69827","0,06393334"
"3,85","15,69748","0,06406667"
"3,86","15,70225","0,06423333"
"3,87","15,71178","0,0644"
"3,88","15,71973","0,06456666"
"3,89","15,72053","0,06473333"
"3,9","15,7245","0,06493334"
"3,91","15,73404","0,0651"
"3,92","15,74675","0,06526667"
"3,93","15,75152","0,06543333"
