16.11.2011  13:2:20
Смещение	Сила	Угол	Момент
-52,41	0	0	0,6
-52,402	0	0	0,6
-52,394	0	0	0,6
-52,384	0	0	0,6
-52,376	0	0	0,6
-52,368	0	0	0,5
-52,359	0	0	0,6
-52,351	0	0	0,6
-52,343	0	0	0,6
-52,335	0	0	0,6
-52,325	0	0	0,6
-52,317	0	0	0,5
-52,308	0	0	0,6
-52,3	0	0	0,6
-52,292	0	0	0,6
-52,284	0	0	0,6
-52,274	0	0	0,6
-52,266	0	0	0,6
-52,258	0	0	0,6
-52,25	0	0	0,6
-52,241	0	0	0,6
-52,233	0	0	0,6
-52,224	0	0	0,6
-52,215	0	0	0,6
-52,207	0	0	0,6
-52,199	0	0	0,6
-52,191	0	0	0,6
-52,183	0	0	0,6
-52,174	0	0	0,6
-52,165	0	0	0,6
-52,156	0	0	0,6
-52,148	0	0	0,6
-52,14	0	0	0,6
-52,132	0	0	0,6
-52,123	0	0	0,6
-52,114	0	0	0,6
-52,106	0	0	0,6
-52,097	0	0	0,6
-52,089	0	0	0,6
-52,081	0	0	0,6
-52,073	0	0	0,6
-52,065	0	0	0,6
-52,055	0	0	0,6
-52,047	0	0	0,6
-52,038	0	0	0,6
-52,03	0	0	0,6
-52,022	0	0	0,6
-52,014	0	0	0,6
-52,004	0	0	0,6
-51,996	0	0	0,6
-51,988	0	0	0,6
-51,98	0	0	0,6
-51,971	0	0	0,6
-51,963	0	0	0,6
-51,953	0	0	0,6
-51,945	0	0	0,6
-51,937	0	0	0,6
-51,929	0	0	0,6
-51,921	0	0	0,6
-51,913	0	0	0,6
-51,904	0	0	0,6
-51,894	0	0	0,6
-51,886	0	0	0,6
-51,878	0	0	0,6
-51,87	0	0	0,6
-51,861	0	0	0,6
-51,853	0	0	0,6
-51,844	0	0	0,6
-51,836	0	0	0,6
-51,827	0	0	0,6
-51,819	0	0	0,6
-51,811	0	0	0,6
-51,803	0	0	0,6
-51,793	0	0	0,6
-51,785	0	0	0,6
-51,776	0	0	0,6
-51,768	0	0	0,6
-51,76	0	0	0,6
-51,752	0	0	0,6
-51,744	0	0	0,6
-51,734	0	0	0,6
-51,725	0	0	0,6
-51,717	0	0	0,6
-51,709	0	0	0,6
-51,701	0	0	0,6
-51,693	0	0	0,6
-51,683	0	0	0,6
-51,675	0	0	0,6
-51,666	0	0	0,6
-51,658	0	0	0,6
-51,65	0	0	0,6
-51,642	0	0	0,6
-51,634	0	0	0,6
-51,624	0	0	0,6
-51,616	0	0	0,6
-51,608	0	0	0,6
-51,599	0	0	0,5
-51,591	0	0	0,6
-51,583	0	0	0,6
-51,573	0	0	0,6
-51,565	0	0	0,6
-51,557	0	0	0,6
-51,549	0	0	0,6
-51,54	0	0	0,6
-51,532	0	0	0,6
-51,522	0	0	0,6
-51,514	0	0	0,6
-51,506	0	0	0,6
-51,498	0	0	0,6
-51,49	0	0	0,6
-51,481	0	0	0,6
-51,473	0	0	0,6
-51,463	0	0	0,6
