"1 _ 1",,,
"Время","Сила","Ход","Экст.1"
"сек","Н","мм","мм"
"2,45","16,06782","38,0285","14,07878"
"2,46","16,11074","38,195","14,27714"
"2,47","16,19657","38,36197","14,35598"
"2,48","16,27525","38,52863","14,35598"
"2,49","16,30624","38,69507","14,42719"
"2,5","16,29035","38,86184","14,4666"
"2,51","16,26333","39,0287","14,57723"
"2,52","16,27922","39,1951","14,63318"
"2,53","16,33326","39,36177","14,63318"
"2,54","16,37618","39,52867","14,64081"
"2,55","16,40479","39,6951","14,72092"
"2,56","16,43737","39,8617","14,78322"
"2,57","16,47552","40,02857","14,79212"
"2,58","16,52161","40,1953","14,78322"
"2,59","16,56214","40,36184","14,89512"
"2,6","16,58519","40,52834","15,01338"
"2,61","16,59393","40,69503","15,08458"
"2,62","16,60983","40,86177","15,14053"
"2,63","16,65274","41,02843","15,14053"
"2,64","16,7044","41,19503","15,25116"
"2,65","16,74016","41,3619","15,29821"
"2,66","16,74175","41,52847","15,4012"
"2,67","16,73778","41,695","15,45715"
"2,68","16,76877","41,8619","15,45715"
"2,69","16,82361","42,02863","15,46478"
"2,7","16,87845","42,19497","15,47368"
"2,71","16,91659","42,36167","15,47368"
"2,72","16,94202","42,52863","15,59957"
"2,73","17,00004","42,69507","15,66315"
"2,74","17,08825","42,86167","15,78267"
"2,75","17,14388","43,0286","15,97214"
"2,76","17,14627","43,1952","16,0675"
"2,77","17,13912","43,36184","16,0675"
"2,78","17,16216","43,52863","16,15397"
"2,79","17,21621","43,69527","16,20229"
"2,8","17,26468","43,8618","16,21755"
"2,81","17,27581","44,02837","16,22645"
"2,82","17,26071","44,19513","16,32945"
"2,83","17,25594","44,36193","16,40066"
"2,84","17,28614","44,5285","16,40066"
"2,85","17,368","44,69503","16,40829"
"2,86","17,4578","44,8619","16,47949"
"2,87","17,49595","45,0286","16,52654"
"2,88","17,49436","45,19493","16,64607"
"2,89","17,50072","45,3618","16,71728"
"2,9","17,53012","45,5286","16,70965"
"2,91","17,58575","45,695","16,71728"
"2,92","17,64456","45,8617","16,81264"
"2,93","17,67397","46,0286","16,87495"
"2,94","17,67794","46,19513","16,87495"
"2,95","17,68509","46,3616","16,87495"
"2,96","17,70973","46,52843","17,02627"
"2,97","17,75026","46,69517","17,12163"
"2,98","17,79318","46,8618","17,21573"
"2,99","17,81782","47,0285","17,27931"
"3","17,82497","47,1952","17,38993"
"3,01","17,84881","47,36193","17,45351"
"3,02","17,90285","47,5285","17,46241"
"3,03","17,96564","47,69513","17,56541"
"3,04","18,00696","47,86193","17,64425"
"3,05","18,02921","48,02847","17,64425"
"3,06","18,05623","48,19497","17,65188"
"3,07","18,09597","48,36187","17,73071"
"3,08","18,14524","48,52867","17,79429"
"3,09","18,20882","48,69503","17,79429"
"3,1","18,25809","48,8618","17,89729"
"3,11","18,25333","49,02867","17,9685"
"3,12","18,21677","49,1951","18,07149"
"3,13","18,20167","49,36177","18,12744"
"3,14","18,23584","49,52857","18,12744"
"3,15","18,3026","49,69517","18,12744"
"3,16","18,36061","49,86163","18,12744"
"3,17","18,38525","50,0285","18,13507"
"3,18","18,3924","50,19523","18,2546"
"3,19","18,41307","50,36187","18,3169"
"3,2","18,4536","50,52843","18,43643"
"3,21","18,49333","50,69507","18,50001"
"3,22","18,52274","50,86184","18,61064"
"3,23","18,5434","51,02843","18,68184"
"3,24","18,55612","51,19497","18,76068"
"3,25","18,57599","51,36187","18,81663"
"3,26","18,6197","51,5285","18,82426"
"3,27","18,67294","51,695","18,82426"
"3,28","18,71189","51,86184","18,81663"
"3,29","18,7405","52,02867","18,82426"
"3,3","18,77228","52,19497","18,94379"
"3,31","18,82076","52,36163","19,00736"
"3,32","18,88196","52,5286","19,00736"
"3,33","18,93202","52,69517","19,12562"
"3,34","18,95348","52,8618","19,29983"
"3,35","18,96063","53,0286","19,35577"
"3,36","18,96063","53,1952","19,44987"
"3,37","18,95189","53,3618","19,49819"
"3,38","18,97653","53,52857","19,49819"
"3,39","19,04646","53,6953","19,59356"
"3,4","19,11481","53,8619","19,64823"
"3,41","19,14183","54,02843","19,55414"
"3,42","19,13627","54,19507","19,49056"
"3,43","19,13548","54,36197","19,49056"
"3,44","19,17124","54,52847","19,49819"
"3,45","19,24276","54,69487","19,49819"
"3,46","19,2976","54,86177","19,60119"
"3,47","19,2968","55,0286","19,65714"
"3,48","19,26184","55,19507","19,82244"
"3,49","19,23879","55,36184","20,00554"
"3,5","19,24276","55,52863","20,14033"
"3,51","19,27296","55,695","20,298"
"3,52","19,31111","55,86167","20,36921"
"3,53","19,33336","56,02863","20,36921"
"3,54","19,34687","56,1952","20,37811"
"3,55","19,3731","56,3617","20,36158"
"3,56","19,42714","56,5284","20,36921"
"3,57","19,50582","56,69517","20,25096"
"3,58","19,57734","56,8618","20,18738"
"3,59","19,62503","57,0284","20,19501"
"3,6","19,66158","57,19503","20,298"
"3,61","19,69973","57,36184","20,48874"
"3,62","19,74424","57,5285","20,69473"
"3,63","19,78","57,69513","20,84478"
"3,64","19,79113","57,862","20,90836"
"3,65","19,78477","58,02853","21,02661"
"3,66","19,77523","58,19487","21,10672"
"3,67","19,77523","58,36177","21,11435"
"3,68","19,80305","58,52863","21,10672"
"3,69","19,8706","58,69503","21,11435"
"3,7","19,93736","58,8618","21,10672"
"3,71","19,96597","59,02873","21,10672"
"3,72","19,97153","59,19523","21,11435"
"3,73","19,98425","59,36184","21,11435"
"3,74","20,02478","59,52863","21,2326"
"3,75","20,0963","59,69523","21,41571"
"3,76","20,15273","59,86184","21,47039"
"3,77","20,16147","60,02853","21,56576"
"3,78","20,15114","60,19517","21,6217"
"3,79","20,15511","60,36187","21,73233"
"3,8","20,18213","60,52834","21,80354"
"3,81","20,22266","60,69497","21,94595"
"3,82","20,24094","60,86184","22,04132"
"3,83","20,22664","61,02853","22,04132"
"3,84","20,22902","61,195","22,03369"
"3,85","20,27194","61,36184","22,0019"
"3,86","20,32836","61,52853","22,02606"
"3,87","20,3681","61,6949","22,03369"
"3,88","20,38002","61,86177","22,03369"
"3,89","20,38479","62,02863","22,13669"
"3,9","20,41101","62,19503","22,19137"
"3,91","20,44757","62,36173","22,31089"
"3,92","20,47618","62,5286","22,37447"
"3,93","20,5032","62,6952","22,36557"
"3,94","20,52307","62,8617","22,37447"
"3,95","20,53022","63,02847","22,4851"
"3,96","20,54056","63,19513","22,54868"
"3,97","20,56201","63,3618","22,6593"
"3,98","20,60652","63,52853","22,72288"
"3,99","20,6693","63,6952","22,83351"
"4","20,71699","63,86193","22,89709"
"4,01","20,7305","64,02847","23,0395"
"4,02","20,73606","64,19504","23,10308"
"4,03","20,74957","64,3619","23,10308"
"4,04","20,78215","64,52856","23,11834"
"4,05","20,84017","64,695","23,17429"
"4,06","20,89659","64,86177","23,23786"
"4,07","20,92043","65,02866","23,23786"
"4,08","20,91567","65,19504","23,23786"
"4,09","20,90057","65,36173","23,39681"
"4,1","20,90454","65,52863","23,47565"
"4,11","20,9411","65,69514","23,47565"
"4,12","20,98878","65,86177","23,48328"
"4,13","21,00786","66,0286","23,55448"
"4,14","21,00388","66,1952","23,6028"
"4,15","21,01342","66,36166","23,5939"
"4,16","21,0619","66,52837","23,71343"
"4,17","21,13342","66,69517","23,76811"
"4,18","21,18587","66,86183","23,76811"
"4,19","21,20972","67,0285","23,8711"
"4,2","21,22641","67,19514","23,92705"
"4,21","21,25104","67,3619","24,06184"
"4,22","21,28442","67,52853","24,15721"
"4,23","21,31859","67,695","24,15721"
"4,24","21,34959","67,8619","24,23604"
"4,25","21,35356","68,02856","24,29962"
"4,26","21,33767","68,195","24,29962"
"4,27","21,348","68,3618","24,26783"
"4,28","21,4084","68,52873","24,29962"
"4,29","21,48946","68,6951","24,38609"
"4,3","21,54748","68,86163","24,43441"
"4,31","21,54748","69,02853","24,43441"
"4,32","21,50694","69,1951","24,43441"
"4,33","21,48151","69,36177","24,53741"
"4,34","21,51807","69,52856","24,60098"
"4,35","21,60072","69,6952","24,70398"
"4,36","21,66669","69,8618","24,75866"
"4,37","21,65874","70,02847","24,90997"
"4,38","21,59437","70,19507","24,98881"
"4,39","21,56258","70,36173","25,08418"
"4,4","21,6039","70,52834","25,14776"
"4,41","21,67543","70,69497","25,25838"
"4,42","21,71834","70,86187","25,32196"
"4,43","21,71358","71,0286","25,18717"
"4,44","21,70006","71,195","25,25075"
"4,45","21,73424","71,36183","25,32196"
"4,46","21,80735","71,52856","25,31306"
"4,47","21,86378","71,695","25,30543"
"4,48","21,88126","71,86177","25,42496"
"4,49","21,88126","72,02863","25,47201"
"4,5","21,88683","72,19504","25,61442"
"4,51","21,9202","72,36163","25,678"
"4,52","21,97981","72,5286","25,82041"
"4,53","22,02114","72,6953","25,89925"
"4,54","22,02988","72,86183","25,89925"
"4,55","22,02352","73,0285","25,89162"
"4,56","22,02749","73,1952","25,89925"
"4,57","22,06405","73,36193","25,97936"
"4,58","22,13717","73,52856","26,02641"
"4,59","22,19677","73,69517","26,02641"
"4,6","22,21664","73,8619","26,02641"
"4,61","22,21346","74,0285","26,16882"
"4,62","22,21823","74,19507","26,24003"
"4,63","22,24763","74,36193","26,32777"
"4,64","22,29214","74,5286","26,39135"
