1 _ 1			1 _ 3			1 _ 2			1 _ 4			1 _ 5			1 _ 6			1 _ 7			1 _ 8			1 _ 9			1 _ 10			1 _ 11			1 _ 12			1 _ 13			1 _ 14			1 _ 15		
Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход	Время	Сила	Ход
сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм	сек	Н	мм
0.23	2.497037	0.0037	0.23	12.71089	0.003733333	0.23	8.481343	0.02266667	0.23	8.575916	0.003666667	0.23	8.742015	0.0227	0.23	7.56979	0.003766667	0.23	7.15971	0.0037	0.23	7.172426	0.003733333	0.23	7.139047	0.003733333	0.23	7.100105	0.003766667	0.23	7.834435	0.003766667	0.23	8.694331	0.0227	0.23	9.953181	0.01136667	0.23	9.794235	0.0038	0.23	7.375082	0.01126667
0.24	2.499421	0.003866667	0.24	12.71645	0.0039	0.24	8.539359	0.02366667	0.24	8.571148	0.003866667	0.24	8.765857	0.02366667	0.24	7.565816	0.0039	0.24	7.151762	0.0039	0.24	7.172426	0.003866667	0.24	7.140636	0.0039	0.24	7.094542	0.0039	0.24	7.834435	0.003933333	0.24	8.705457	0.0237	0.24	9.978612	0.01186667	0.24	9.799004	0.003966667	0.24	7.414818	0.01176667
0.25	2.503395	0.0041	0.25	12.72361	0.0041	0.25	8.575916	0.02466667	0.25	8.572738	0.004066667	0.25	8.780162	0.02466667	0.25	7.560253	0.0041	0.25	7.156531	0.004066667	0.25	7.179578	0.004066667	0.25	7.138252	0.0041	0.25	7.100105	0.004066667	0.25	7.840792	0.0041	0.25	8.717378	0.0247	0.25	9.999275	0.01233333	0.25	9.799004	0.0041	0.25	7.446607	0.0123
0.26	2.508163	0.004266667	0.26	12.73473	0.004266667	0.26	8.610885	0.02563333	0.26	8.572738	0.004233333	0.26	8.797646	0.02566667	0.26	7.557074	0.004233333	0.26	7.172426	0.004233333	0.26	7.184347	0.0043	0.26	7.134279	0.004266667	0.26	7.110437	0.004233333	0.26	7.847945	0.004233333	0.26	8.734862	0.0257	0.26	10.01676	0.01283333	0.26	9.790261	0.0043	0.26	7.471243	0.0128
0.27	2.512137	0.004433333	0.27	12.74665	0.004433333	0.27	8.649032	0.0266	0.27	8.572738	0.004366667	0.27	8.817513	0.02663333	0.27	7.560253	0.004366667	0.27	7.183552	0.0044	0.27	7.181962	0.004433333	0.27	7.130305	0.004433333	0.27	7.121563	0.004433333	0.27	7.855097	0.004366667	0.27	8.75473	0.02666667	0.27	10.03186	0.01333333	0.27	9.78152	0.004433333	0.27	7.491907	0.0133
0.28	2.512932	0.004566667	0.28	12.75778	0.0046	0.28	8.68082	0.0276	0.28	8.577506	0.0045	0.28	8.838177	0.0276	0.28	7.563432	0.004533333	0.28	7.181962	0.004566667	0.28	7.17481	0.004566667	0.28	7.125536	0.004566667	0.28	7.12951	0.004566667	0.28	7.859071	0.004533333	0.28	8.774598	0.02763333	0.28	10.0414	0.01386667	0.28	9.783109	0.0046	0.28	7.513364	0.0138
0.29	2.514521	0.0047	0.29	12.76811	0.004766667	0.29	8.703073	0.0286	0.29	8.591016	0.004633334	0.29	8.85884	0.0286	0.29	7.565022	0.004633334	0.29	7.17481	0.0047	0.29	7.170042	0.0047	0.29	7.121563	0.0047	0.29	7.135073	0.0047	0.29	7.856687	0.0047	0.29	8.793672	0.02863333	0.29	10.04616	0.01433333	0.29	9.794235	0.004766667	0.29	7.532438	0.0143
0.3	2.51929	0.004866667	0.3	12.77765	0.004933333	0.3	8.722146	0.0296	0.3	8.609295	0.004766667	0.3	8.881092	0.0296	0.3	7.565022	0.004766667	0.3	7.170836	0.0048	0.3	7.170042	0.0048	0.3	7.119179	0.0048	0.3	7.143816	0.004833333	0.3	7.852713	0.0048	0.3	8.815129	0.02963333	0.3	10.05252	0.01483333	0.3	9.801388	0.004966667	0.3	7.549922	0.0148
0.31	2.524058	0.005033333	0.31	12.78718	0.005133334	0.31	8.748372	0.03056667	0.31	8.631547	0.004933333	0.31	8.907318	0.0306	0.31	7.573763	0.004966667	0.31	7.176399	0.0049	0.31	7.172426	0.004933333	0.31	7.125536	0.004933333	0.31	7.154147	0.004966667	0.31	7.84874	0.0049	0.31	8.838177	0.03063333	0.31	10.06444	0.01536667	0.31	9.801388	0.005133334	0.31	7.565816	0.0153
0.32	2.528032	0.0052	0.32	12.79513	0.0053	0.32	8.77142	0.0316	0.32	8.664926	0.0051	0.32	8.93275	0.0316	0.32	7.599195	0.005133334	0.32	7.18832	0.005066667	0.32	7.181168	0.0051	0.32	7.140636	0.0051	0.32	7.167657	0.0051	0.32	7.852713	0.005066667	0.32	8.867581	0.03163333	0.32	10.07795	0.01586667	0.32	9.796619	0.0053	0.32	7.578532	0.01583333
